review_id,product_type,brand,rating,feedback_text,lda_topic,lda_topic_label,lda_topic_confidence
EV1000,EV Car,Tata Nexon EV,4,"No proper information on how battery degrades over time, company should be transparent.",5,"Topic 5: battery, center, service center, service, safety",0.9357136577255175
EV1001,EV Car,Tesla Model 3,4,"The real world range is much lower than advertised, I only get 100 km on a full charge.",1,"Topic 1: range, system, genuinely, useful, genuinely useful",0.9357130553242756
EV1002,EV Car,MG ZS EV,4,Emergency braking and collision alert systems work really well in traffic.,7,"Topic 7: braking, work, system, work well, well",0.9437497312130717
EV1003,EV Car,Mahindra XUV400,4,"Loved the color options and the overall styling of the vehicle. Suspension is too stiff, ride quality is uncomfortable on bad roads.",0,"Topic 0: cost, battery, replacement cost, replacement, city",0.5285696800551991
EV1004,EV Car,Hyundai Kona,4,"Love the app that shows nearby charging stations, very convenient feature.",6,"Topic 6: charging, battery, almost, tier, use",0.943748039404446
EV1005,EV Scooter,Ampere Magnus,4,Advanced safety features like ABS and traction control give peace of mind.,3,"Topic 3: safety, use, highway, part, feature",0.9499995847169762
EV1006,EV Scooter,Ola S1,3,Zero tailpipe emissions is the main reason I chose an electric vehicle.,6,"Topic 6: charging, battery, almost, tier, use",0.9249999999668123
EV1007,EV Car,Tata Nexon EV,4,"Running cost is much lower than petrol, saving a lot on fuel every month.",4,"Topic 4: software, month, year, battery, keep",0.9499988743504476
EV1008,EV Scooter,TVS iQube,4,The motor is powerful and pickup is much better than petrol variants. Concerned about environmental impact of battery disposal and recycling.,9,"Topic 9: price, subsidy, service, battery disposal, concerned environmental",0.510190429387028
EV1009,EV Car,BYD Atto 3,3,"Battery replacement cost is almost half the price of the vehicle, very concerning.",0,"Topic 0: cost, battery, replacement cost, replacement, city",0.9357121936164879
EV1010,EV Scooter,TVS iQube,3,The upfront price is high but government subsidy makes it affordable.,9,"Topic 9: price, subsidy, service, battery disposal, concerned environmental",0.9357130000184158
EV1011,EV Scooter,Bajaj Chetak,5,Concerned about environmental impact of battery disposal and recycling.,9,"Topic 9: price, subsidy, service, battery disposal, concerned environmental",0.9249986153687703
EV1012,EV Car,Tesla Model 3,4,"Battery health dropped to 85% within 18 months of daily use. There are very few authorized service centers, had to travel 5 km for repair.",6,"Topic 6: charging, battery, almost, tier, use",0.5465585564767148
EV1013,EV Scooter,Hero Vida V1,4,The motor is powerful and pickup is much better than petrol variants.,3,"Topic 3: safety, use, highway, part, feature",0.924998570431653
EV1014,EV Car,BYD Atto 3,4,Home charging setup was expensive and took weeks to install.,5,"Topic 5: battery, center, service center, service, safety",0.935713411107298
EV1015,EV Car,Tesla Model 3,5,"Storage space under the seat is very limited, not practical for daily use.",3,"Topic 3: safety, use, highway, part, feature",0.9357135200179632
EV1016,EV Scooter,Ampere Magnus,4,"Charging takes too long, almost 6 hours for a full charge at home. Stability control on wet roads is impressive and inspires confidence.",0,"Topic 0: cost, battery, replacement cost, replacement, city",0.49338104128145843
EV1017,EV Scooter,Ola S1,4,"The companion app keeps crashing, needs urgent software updates.",4,"Topic 4: software, month, year, battery, keep",0.943749216857566
EV1018,EV Scooter,Ampere Magnus,4,"Had a great experience with the service team, they explained everything clearly.",4,"Topic 4: software, month, year, battery, keep",0.9357124482698551
EV1019,EV Car,MG ZS EV,4,Battery range degrades faster than expected after just one year of use. Acceleration is smooth and instant torque makes overtaking effortless.,4,"Topic 4: software, month, year, battery, keep",0.9666649437935103
