topic_id,top_keywords,doc_count,pct_of_corpus
4,"software, month, year, battery, keep, update, software update, twice, freeze twice, twice month",165,13.75
0,"cost, battery, replacement cost, replacement, city, charging, road, station, charging station, range",161,13.42
6,"charging, battery, almost, tier, use, dropped within, dropped, health, health dropped, battery health",158,13.17
9,"price, subsidy, service, battery disposal, concerned environmental, impact, recycling, impact battery, concerned, disposal recycling",143,11.92
8,"range, drop, defeat purpose, energy, energy used, used, defeat, somewhat, used charge, coal region",125,10.42
2,"feel, quality, range, support, quality feel, price, build, build quality, service, carbon footprint",118,9.83
3,"safety, use, highway, part, feature, advanced safety, mind, control give, peace, safety feature",115,9.58
5,"battery, center, service center, service, safety, biggest concern, battery fire, buying, read, report battery",91,7.58
1,"range, system, genuinely, useful, genuinely useful, range prediction, integrated range, system integrated, prediction genuinely, navigation",65,5.42
7,"braking, work, system, work well, well, braking system, braking work, responsive regenerative, regenerative, regenerative braking",59,4.92
