review_id,source,product_type,brand,region,date,rating,feedback_text,_true_themes,clean_text_classical,clean_text_bert,lda_topic,lda_topic_confidence,lda_topic_label,nmf_topic,nmf_topic_confidence,nmf_topic_label,bert_topic,bert_topic_confidence,bert_topic_label
EV1000,Customer Support,EV Car,Tata Nexon EV,South,8/16/2024,4,"No proper information on how battery degrades over time, company should be transparent.",Battery Life & Degradation,proper information battery degrades time company transparent,"No proper information on how battery degrades over time, company should be transparent.",5,0.935713658,"Topic 5: battery, center, service center, service, safety",8,0.052935026,"Topic 8: service, service center, center, appointment long, center needed",1,0.20627612860575542,"Topic 1: range, transparent, proper, time company, proper information, battery degrades"
EV1001,Survey,EV Car,Tesla Model 3,Central,3/8/2025,4,"The real world range is much lower than advertised, I only get 100 km on a full charge.",Range Anxiety,real world range lower advertised full charge,"The real world range is much lower than advertised, I only get 100 km on a full charge.",1,0.935713055,"Topic 1: range, system, genuinely, useful, genuinely useful",1,0.031760106,"Topic 1: charge come, defeat purpose, defeat, come mostly, come",1,1.0,"Topic 1: range, transparent, proper, time company, proper information, battery degrades"
EV1002,Survey,EV Car,MG ZS EV,Central,7/22/2024,4,Emergency braking and collision alert systems work really well in traffic.,Safety Features,emergency braking collision alert system work well traffic,Emergency braking and collision alert systems work really well in traffic.,7,0.943749731,"Topic 7: braking, work, system, work well, well",2,0.319097782,"Topic 2: braking, system, work well, work, well",0,0.01524501052497059,"Topic 0: collision, systems, braking collision, collision alert, systems work, really traffic"
EV1003,Customer Support,EV Car,Mahindra XUV400,North,6/12/2024,4,"Loved the color options and the overall styling of the vehicle. Suspension is too stiff, ride quality is uncomfortable on bad roads.","Design & Aesthetics, Performance & Ride Quality",loved color option overall styling suspension stiff ride quality uncomfortable road,"Loved the color options and the overall styling of the vehicle. Suspension is too stiff, ride quality is uncomfortable on bad roads.",0,0.52856968,"Topic 0: cost, battery, replacement cost, replacement, city",7,0.017461527,"Topic 7: riding, low, smooth, level, impressively",8,0.033004562882756376,"Topic 8: vehicle good, test ratings, test, purchase decision, ratings, ratings reassured"
EV1004,Survey,EV Car,Hyundai Kona,North,1/24/2025,4,"Love the app that shows nearby charging stations, very convenient feature.",Charging Infrastructure,love app show nearby charging station convenient feature,"Love the app that shows nearby charging stations, very convenient feature.",6,0.943748039,"Topic 6: charging, battery, almost, tier, use",6,0.138731495,"Topic 6: app, keep, update, software update, need",8,0.01113673678581985,"Topic 8: vehicle good, test ratings, test, purchase decision, ratings, ratings reassured"
EV1005,Customer Support,EV Scooter,Ampere Magnus,North,4/15/2025,4,Advanced safety features like ABS and traction control give peace of mind.,Safety Features,advanced safety feature ab traction control give peace mind,Advanced safety features like ABS and traction control give peace of mind.,3,0.949999585,"Topic 3: safety, use, highway, part, feature",3,0.403444493,"Topic 3: ab, ab traction, control give, traction, traction control",10,0.00149710114097826,"Topic 10: battery replacement, cost half, half price, concerning, price vehicle, vehicle concerning"
EV1006,Customer Support,EV Scooter,Ola S1,Central,1/5/2025,3,Zero tailpipe emissions is the main reason I chose an electric vehicle.,Environmental Impact,zero tailpipe emission main reason chose,Zero tailpipe emissions is the main reason I chose an electric vehicle.,6,0.925,"Topic 6: charging, battery, almost, tier, use",7,0.153486816,"Topic 7: riding, low, smooth, level, impressively",19,1.0,"Topic 19: chose, chose electric, emissions, emissions main, reason, reason chose"
EV1007,Social Media,EV Car,Tata Nexon EV,East,3/22/2024,4,"Running cost is much lower than petrol, saving a lot on fuel every month.",Price & Subsidy,running cost lower petrol saving lot fuel every month,"Running cost is much lower than petrol, saving a lot on fuel every month.",4,0.949998874,"Topic 4: software, month, year, battery, keep",9,0.051628088,"Topic 9: dashboard, caused dashboard, caused, dashboard freeze, freeze twice",9,0.009745946988304461,"Topic 9: lot, better, expected, attracts lot, attracts, looks futuristic"
EV1008,Marketplace Review,EV Scooter,TVS iQube,East,6/15/2024,4,The motor is powerful and pickup is much better than petrol variants. Concerned about environmental impact of battery disposal and recycling.,"Performance & Ride Quality, Environmental Impact",motor powerful pickup better petrol variant concerned environmental impact battery disposal recycling,The motor is powerful and pickup is much better than petrol variants. Concerned about environmental impact of battery disposal and recycling.,9,0.510190429,"Topic 9: price, subsidy, service, battery disposal, concerned environmental",5,0.28797374,"Topic 5: battery disposal, disposal recycling, concerned, environmental impact, environmental",9,1.0,"Topic 9: lot, better, expected, attracts lot, attracts, looks futuristic"
EV1009,Social Media,EV Car,BYD Atto 3,Central,9/7/2024,3,"Battery replacement cost is almost half the price of the vehicle, very concerning.",Battery Life & Degradation,battery replacement cost almost half price concerning,"Battery replacement cost is almost half the price of the vehicle, very concerning.",0,0.935712194,"Topic 0: cost, battery, replacement cost, replacement, city",0,0.109297637,"Topic 0: cost, replacement cost, replacement, price, battery",10,1.0,"Topic 10: battery replacement, cost half, half price, concerning, price vehicle, vehicle concerning"
EV1010,Social Media,EV Scooter,TVS iQube,East,2/27/2024,3,The upfront price is high but government subsidy makes it affordable.,Price & Subsidy,upfront price high government subsidy make affordable,The upfront price is high but government subsidy makes it affordable.,9,0.935713,"Topic 9: price, subsidy, service, battery disposal, concerned environmental",0,0.054278679,"Topic 0: cost, replacement cost, replacement, price, battery",2,0.0016667260434011448,"Topic 2: makes, high, size makes, park, easy, maneuver"
EV1011,Customer Support,EV Scooter,Bajaj Chetak,North,8/4/2024,5,Concerned about environmental impact of battery disposal and recycling.,Environmental Impact,concerned environmental impact battery disposal recycling,Concerned about environmental impact of battery disposal and recycling.,9,0.924998615,"Topic 9: price, subsidy, service, battery disposal, concerned environmental",5,0.435865403,"Topic 5: battery disposal, disposal recycling, concerned, environmental impact, environmental",12,1.0,"Topic 12: battery disposal, environmental, disposal, disposal recycling, concerned, concerned environmental"
EV1012,Marketplace Review,EV Car,Tesla Model 3,West,4/14/2025,4,"Battery health dropped to 85% within 18 months of daily use. There are very few authorized service centers, had to travel 5 km for repair.","Battery Life & Degradation, Service & After-Sales",battery health dropped within month daily use authorized service center travel repair,"Battery health dropped to 85% within 18 months of daily use. There are very few authorized service centers, had to travel 5 km for repair.",6,0.546558556,"Topic 6: charging, battery, almost, tier, use",4,0.284328071,"Topic 4: use, daily use, daily, dropped, within month",13,1.0,"Topic 13: 18, 18 months, 85, 85 18, health dropped, months daily"
EV1013,Marketplace Review,EV Scooter,Hero Vida V1,Central,2/12/2025,4,The motor is powerful and pickup is much better than petrol variants.,Performance & Ride Quality,motor powerful pickup better petrol variant,The motor is powerful and pickup is much better than petrol variants.,3,0.92499857,"Topic 3: safety, use, highway, part, feature",5,0.012919841,"Topic 5: battery disposal, disposal recycling, concerned, environmental impact, environmental",9,1.0,"Topic 9: lot, better, expected, attracts lot, attracts, looks futuristic"
EV1014,Marketplace Review,EV Car,BYD Atto 3,North,2/18/2024,4,Home charging setup was expensive and took weeks to install.,Charging Infrastructure,home charging setup expensive took week install,Home charging setup was expensive and took weeks to install.,5,0.935713411,"Topic 5: battery, center, service center, service, safety",5,0.034397189,"Topic 5: battery disposal, disposal recycling, concerned, environmental impact, environmental",11,1.0,"Topic 11: home, bluetooth, riding frustrating, connectivity, bluetooth connectivity, drops frequently"
