review_id,source,product_type,brand,region,date,rating,feedback_text,_true_themes
EV1000,Customer Support,EV Car,Tata Nexon EV,South,8/16/2024,4,"No proper information on how battery degrades over time, company should be transparent.",Battery Life & Degradation
EV1001,Survey,EV Car,Tesla Model 3,Central,3/8/2025,4,"The real world range is much lower than advertised, I only get 100 km on a full charge.",Range Anxiety
EV1002,Survey,EV Car,MG ZS EV,Central,7/22/2024,4,Emergency braking and collision alert systems work really well in traffic.,Safety Features
EV1003,Customer Support,EV Car,Mahindra XUV400,North,6/12/2024,4,"Loved the color options and the overall styling of the vehicle. Suspension is too stiff, ride quality is uncomfortable on bad roads.","Design & Aesthetics, Performance & Ride Quality"
EV1004,Survey,EV Car,Hyundai Kona,North,1/24/2025,4,"Love the app that shows nearby charging stations, very convenient feature.",Charging Infrastructure
EV1005,Customer Support,EV Scooter,Ampere Magnus,North,4/15/2025,4,Advanced safety features like ABS and traction control give peace of mind.,Safety Features
EV1006,Customer Support,EV Scooter,Ola S1,Central,1/5/2025,3,Zero tailpipe emissions is the main reason I chose an electric vehicle.,Environmental Impact
EV1007,Social Media,EV Car,Tata Nexon EV,East,3/22/2024,4,"Running cost is much lower than petrol, saving a lot on fuel every month.",Price & Subsidy
EV1008,Marketplace Review,EV Scooter,TVS iQube,East,6/15/2024,4,The motor is powerful and pickup is much better than petrol variants. Concerned about environmental impact of battery disposal and recycling.,"Performance & Ride Quality, Environmental Impact"
EV1009,Social Media,EV Car,BYD Atto 3,Central,9/7/2024,3,"Battery replacement cost is almost half the price of the vehicle, very concerning.",Battery Life & Degradation
EV1010,Social Media,EV Scooter,TVS iQube,East,2/27/2024,3,The upfront price is high but government subsidy makes it affordable.,Price & Subsidy
EV1011,Customer Support,EV Scooter,Bajaj Chetak,North,8/4/2024,5,Concerned about environmental impact of battery disposal and recycling.,Environmental Impact
EV1012,Marketplace Review,EV Car,Tesla Model 3,West,4/14/2025,4,"Battery health dropped to 85% within 18 months of daily use. There are very few authorized service centers, had to travel 5 km for repair.","Battery Life & Degradation, Service & After-Sales"
EV1013,Marketplace Review,EV Scooter,Hero Vida V1,Central,2/12/2025,4,The motor is powerful and pickup is much better than petrol variants.,Performance & Ride Quality
EV1014,Marketplace Review,EV Car,BYD Atto 3,North,2/18/2024,4,Home charging setup was expensive and took weeks to install.,Charging Infrastructure
EV1015,Marketplace Review,EV Car,Tesla Model 3,Central,3/6/2024,5,"Storage space under the seat is very limited, not practical for daily use.",Design & Aesthetics
EV1016,Customer Support,EV Scooter,Ampere Magnus,Central,1/12/2024,4,"Charging takes too long, almost 6 hours for a full charge at home. Stability control on wet roads is impressive and inspires confidence.","Charging Infrastructure, Safety Features"
EV1017,Customer Support,EV Scooter,Ola S1,West,6/10/2024,4,"The companion app keeps crashing, needs urgent software updates.",Software & Connectivity
EV1018,Social Media,EV Scooter,Ampere Magnus,Central,4/18/2024,4,"Had a great experience with the service team, they explained everything clearly.",Service & After-Sales
EV1019,Customer Support,EV Car,MG ZS EV,South,6/27/2025,4,Battery range degrades faster than expected after just one year of use. Acceleration is smooth and instant torque makes overtaking effortless.,"Range Anxiety, Performance & Ride Quality"
EV1020,Customer Support,EV Car,Hyundai Kona,South,2/29/2024,5,"Running cost is much lower than petrol, saving a lot on fuel every month.",Price & Subsidy
EV1021,Marketplace Review,EV Car,Tesla Model 3,North,6/29/2025,5,Battery health dropped to 85% within 18 months of daily use.,Battery Life & Degradation
EV1022,Social Media,EV Scooter,Ampere Magnus,East,6/24/2025,4,"Energy used to charge still comes mostly from coal in my region, defeats the purpose somewhat. LED lighting and digital dashboard give it a premium, modern look. Price after subsidy is still higher than a comparable petrol scooter.","Environmental Impact, Design & Aesthetics, Price & Subsidy"
EV1023,Customer Support,EV Scooter,Bajaj Chetak,West,6/13/2025,4,"Over the air software updates are a great feature, keeps improving over time. Public chargers are often broken or occupied, need more charging stations urgently. Resale value of electric vehicles is still uncertain, worried about depreciation.","Software & Connectivity, Charging Infrastructure, Price & Subsidy"
EV1024,Social Media,EV Car,BYD Atto 3,Central,8/13/2024,3,"Range drops badly in winter, I lost almost 30% range in cold weather.",Range Anxiety
EV1025,Survey,EV Car,MG ZS EV,North,12/4/2024,3,Fast charging network needs serious expansion on highways.,Charging Infrastructure
EV1026,Marketplace Review,EV Scooter,Hero Vida V1,South,5/15/2024,3,"Zero tailpipe emissions is the main reason I chose an electric vehicle. Smart key and app based lock features work flawlessly, very convenient.","Environmental Impact, Software & Connectivity"
EV1027,Social Media,EV Scooter,Bajaj Chetak,North,4/9/2024,4,Loved the color options and the overall styling of the vehicle.,Design & Aesthetics
