review_id,product_type,brand,rating,feedback_text,bert_topic,bert_topic_label,bert_topic_confidence
EV1000,EV Car,Tata Nexon EV,4,"No proper information on how battery degrades over time, company should be transparent.",1,"Topic 1: range, transparent, proper, time company, proper information, battery degrades",0.20627612860575542
EV1001,EV Car,Tesla Model 3,4,"The real world range is much lower than advertised, I only get 100 km on a full charge.",1,"Topic 1: range, transparent, proper, time company, proper information, battery degrades",1.0
EV1002,EV Car,MG ZS EV,4,Emergency braking and collision alert systems work really well in traffic.,0,"Topic 0: collision, systems, braking collision, collision alert, systems work, really traffic",0.01524501052497059
EV1003,EV Car,Mahindra XUV400,4,"Loved the color options and the overall styling of the vehicle. Suspension is too stiff, ride quality is uncomfortable on bad roads.",8,"Topic 8: vehicle good, test ratings, test, purchase decision, ratings, ratings reassured",0.033004562882756376
EV1004,EV Car,Hyundai Kona,4,"Love the app that shows nearby charging stations, very convenient feature.",8,"Topic 8: vehicle good, test ratings, test, purchase decision, ratings, ratings reassured",0.01113673678581985
EV1005,EV Scooter,Ampere Magnus,4,Advanced safety features like ABS and traction control give peace of mind.,10,"Topic 10: battery replacement, cost half, half price, concerning, price vehicle, vehicle concerning",0.00149710114097826
EV1006,EV Scooter,Ola S1,3,Zero tailpipe emissions is the main reason I chose an electric vehicle.,19,"Topic 19: chose, chose electric, emissions, emissions main, reason, reason chose",1.0
EV1007,EV Car,Tata Nexon EV,4,"Running cost is much lower than petrol, saving a lot on fuel every month.",9,"Topic 9: lot, better, expected, attracts lot, attracts, looks futuristic",0.009745946988304461
EV1008,EV Scooter,TVS iQube,4,The motor is powerful and pickup is much better than petrol variants. Concerned about environmental impact of battery disposal and recycling.,9,"Topic 9: lot, better, expected, attracts lot, attracts, looks futuristic",1.0
EV1009,EV Car,BYD Atto 3,3,"Battery replacement cost is almost half the price of the vehicle, very concerning.",10,"Topic 10: battery replacement, cost half, half price, concerning, price vehicle, vehicle concerning",1.0
EV1010,EV Scooter,TVS iQube,3,The upfront price is high but government subsidy makes it affordable.,2,"Topic 2: makes, high, size makes, park, easy, maneuver",0.0016667260434011448
EV1011,EV Scooter,Bajaj Chetak,5,Concerned about environmental impact of battery disposal and recycling.,12,"Topic 12: battery disposal, environmental, disposal, disposal recycling, concerned, concerned environmental",1.0
EV1012,EV Car,Tesla Model 3,4,"Battery health dropped to 85% within 18 months of daily use. There are very few authorized service centers, had to travel 5 km for repair.",13,"Topic 13: 18, 18 months, 85, 85 18, health dropped, months daily",1.0
EV1013,EV Scooter,Hero Vida V1,4,The motor is powerful and pickup is much better than petrol variants.,9,"Topic 9: lot, better, expected, attracts lot, attracts, looks futuristic",1.0
EV1014,EV Car,BYD Atto 3,4,Home charging setup was expensive and took weeks to install.,11,"Topic 11: home, bluetooth, riding frustrating, connectivity, bluetooth connectivity, drops frequently",1.0
EV1015,EV Car,Tesla Model 3,5,"Storage space under the seat is very limited, not practical for daily use.",5,"Topic 5: air software, improving, great feature, keeps improving, updates great, improving time",1.0
EV1016,EV Scooter,Ampere Magnus,4,"Charging takes too long, almost 6 hours for a full charge at home. Stability control on wet roads is impressive and inspires confidence.",3,"Topic 3: low, stability control, control wet, impressive, impressive inspires, wet",0.010396015455196998
EV1017,EV Scooter,Ola S1,4,"The companion app keeps crashing, needs urgent software updates.",17,"Topic 17: app keeps, crashing, crashing needs, companion app, companion, urgent software",1.0
EV1018,EV Scooter,Ampere Magnus,4,"Had a great experience with the service team, they explained everything clearly.",8,"Topic 8: vehicle good, test ratings, test, purchase decision, ratings, ratings reassured",1.0
EV1019,EV Car,MG ZS EV,4,Battery range degrades faster than expected after just one year of use. Acceleration is smooth and instant torque makes overtaking effortless.,9,"Topic 9: lot, better, expected, attracts lot, attracts, looks futuristic",1.0
EV1020,EV Car,Hyundai Kona,5,"Running cost is much lower than petrol, saving a lot on fuel every month.",9,"Topic 9: lot, better, expected, attracts lot, attracts, looks futuristic",0.009748750520590703
EV1021,EV Car,Tesla Model 3,5,Battery health dropped to 85% within 18 months of daily use.,13,"Topic 13: 18, 18 months, 85, 85 18, health dropped, months daily",1.0
EV1022,EV Scooter,Ampere Magnus,4,"Energy used to charge still comes mostly from coal in my region, defeats the purpose somewhat. LED lighting and digital dashboard give it a premium, modern look. Price after subsidy is still higher than a comparable petrol scooter.",6,"Topic 6: coal, defeats purpose, defeats, coal region, comes coal, comes",0.7696989027119853
EV1023,EV Scooter,Bajaj Chetak,4,"Over the air software updates are a great feature, keeps improving over time. Public chargers are often broken or occupied, need more charging stations urgently. Resale value of electric vehicles is still uncertain, worried about depreciation.",5,"Topic 5: air software, improving, great feature, keeps improving, updates great, improving time",1.0
EV1024,EV Car,BYD Atto 3,3,"Range drops badly in winter, I lost almost 30% range in cold weather.",23,"Topic 23: 30 range, badly, badly winter, cold weather, drops badly, cold",1.0
EV1025,EV Car,MG ZS EV,3,Fast charging network needs serious expansion on highways.,2,"Topic 2: makes, high, size makes, park, easy, maneuver",1.0
EV1026,EV Scooter,Hero Vida V1,3,"Zero tailpipe emissions is the main reason I chose an electric vehicle. Smart key and app based lock features work flawlessly, very convenient.",19,"Topic 19: chose, chose electric, emissions, emissions main, reason, reason chose",1.0
EV1027,EV Scooter,Bajaj Chetak,4,Loved the color options and the overall styling of the vehicle.,24,"Topic 24: braking, braking feels, braking works, responsive, regenerative braking, responsive regenerative",0.033073133006838014
EV1028,EV Scooter,Bajaj Chetak,5,For daily commute the range is fine but long trips are stressful because of low range.,1,"Topic 1: range, transparent, proper, time company, proper information, battery degrades",1.0
EV1029,EV Scooter,Ola S1,4,"Read reports about battery fires, safety is my biggest concern before buying. Bluetooth connectivity drops frequently while riding, very frustrating.",11,"Topic 11: home, bluetooth, riding frustrating, connectivity, bluetooth connectivity, drops frequently",1.0
