Topic,Count,Name,Representation,Representative_Docs
0,79,0_collision_systems_braking collision_collision alert,"['collision', 'systems', 'braking collision', 'collision alert', 'systems work', 'really traffic', 'really', 'alert systems', 'emergency braking', 'alert']","['Emergency braking and collision alert systems work really well in traffic.', 'Emergency braking and collision alert systems work really well in traffic. Finding a working charging station in my city is still very difficult.', 'Finding a working charging station in my city is still very difficult. Emergency braking and collision alert systems work really well in traffic.']"
1,60,1_range_transparent_proper_time company,"['range', 'transparent', 'proper', 'time company', 'proper information', 'battery degrades', 'information', 'information battery', 'company transparent', 'degrades time']","['No proper information on how battery degrades over time, company should be transparent. The real world range is much lower than advertised, I only get 200 km on a full charge.', 'LED lighting and digital dashboard give it a premium, modern look. Claimed range of 150 km is misleading, actual range is way less in city traffic. No proper information on how battery degrades over time, company should be transparent.', 'For daily commute the range is fine but long trips are stressful because of low range. Energy used to charge still comes mostly from coal in my region, defeats the purpose somewhat. No proper information on how battery degrades over time, company should be transparent.']"
2,75,2_makes_high_size makes_park,"['makes', 'high', 'size makes', 'park', 'easy', 'maneuver', 'makes easy', 'compact size', 'maneuver city', 'size']","['Compact size makes it easy to park and maneuver in city traffic. Fast charging network needs serious expansion on highways.', 'Compact size makes it easy to park and maneuver in city traffic. Handling and stability at high speed feels very confident and safe.', 'Handling and stability at high speed feels very confident and safe. Compact size makes it easy to park and maneuver in city traffic.']"
3,55,3_low_stability control_control wet_impressive,"['low', 'stability control', 'control wet', 'impressive', 'impressive inspires', 'wet', 'inspires confidence', 'inspires', 'wet roads', 'roads impressive']","['Total cost of ownership is great once you factor in low maintenance and fuel savings. Noise levels are impressively low, riding experience is very smooth and quiet.', 'Noise levels are impressively low, riding experience is very smooth and quiet. Stability control on wet roads is impressive and inspires confidence.', 'Total cost of ownership is great once you factor in low maintenance and fuel savings. Noise levels are impressively low, riding experience is very smooth and quiet. Stability control on wet roads is impressive and inspires confidence.']"
4,51,4_big motivation_big_motivation going_motivation,"['big motivation', 'big', 'motivation going', 'motivation', 'contributing', 'going', 'city big', 'cleaner', 'cleaner city', 'contributing cleaner']","['Contributing to a cleaner city is a big motivation behind going electric.', 'Contributing to a cleaner city is a big motivation behind going electric.', 'The battery warranty of 100 years gives me confidence in long term reliability. Contributing to a cleaner city is a big motivation behind going electric.']"
5,51,5_air software_improving_great feature_keeps improving,"['air software', 'improving', 'great feature', 'keeps improving', 'updates great', 'improving time', 'air', 'feature keeps', 'limited', 'storage space']","['Storage space under the seat is very limited, not practical for daily use. Resale value of electric vehicles is still uncertain, worried about depreciation.', 'Over the air software updates are a great feature, keeps improving over time. Storage space under the seat is very limited, not practical for daily use.', 'Storage space under the seat is very limited, not practical for daily use. Over the air software updates are a great feature, keeps improving over time.']"
6,48,6_coal_defeats purpose_defeats_coal region,"['coal', 'defeats purpose', 'defeats', 'coal region', 'comes coal', 'comes', 'charge comes', 'purpose', 'purpose somewhat', 'used charge']","['Energy used to charge still comes mostly from coal in my region, defeats the purpose somewhat.', 'Energy used to charge still comes mostly from coal in my region, defeats the purpose somewhat.', 'Energy used to charge still comes mostly from coal in my region, defeats the purpose somewhat. Price after subsidy is still higher than a comparable petrol scooter.']"
7,56,7_ev_good knowing_knowing_feels good,"['ev', 'good knowing', 'knowing', 'feels good', 'carbon footprint', 'knowing reducing', 'reducing carbon', 'ev feels', 'reducing', 'switching ev']","[""Switching to EV feels good knowing I'm reducing my carbon footprint."", ""Switching to EV feels good knowing I'm reducing my carbon footprint."", ""Service center staff are not well trained to handle EV specific issues. Switching to EV feels good knowing I'm reducing my carbon footprint.""]"
8,65,8_vehicle good_test ratings_test_purchase decision,"['vehicle good', 'test ratings', 'test', 'purchase decision', 'ratings', 'ratings reassured', 'reassured', 'reassured purchase', 'purchase', 'decision']","['The vehicle has good crash test ratings which reassured my purchase decision.', 'The vehicle has good crash test ratings which reassured my purchase decision. Suspension is too stiff, ride quality is uncomfortable on bad roads.', 'Had a great experience with the service team, they explained everything clearly. The vehicle has good crash test ratings which reassured my purchase decision.']"
9,74,9_lot_better_expected_attracts lot,"['lot', 'better', 'expected', 'attracts lot', 'attracts', 'looks futuristic', 'attention', 'road', 'lot attention', 'attention road']","['The design looks futuristic and attracts a lot of attention on the road. The motor is powerful and pickup is much better than petrol variants. Battery health dropped to 85% within 18 months of daily use.', 'The design looks futuristic and attracts a lot of attention on the road. For the price, I expected better build quality and more features.', 'The design looks futuristic and attracts a lot of attention on the road. Battery range degrades faster than expected after just one year of use.']"
