topic_id,top_keywords,doc_count,pct_of_corpus
7,"riding, low, smooth, level, impressively, impressively low, smooth quiet, riding experience, noise level, noise",226,18.83
8,"service, service center, center, appointment long, center needed, needed, long service, appointment, service appointment, waiting",223,18.58
6,"app, keep, update, software update, need, urgent, app keep, crashing need, crashing, need urgent",148,12.33
0,"cost, replacement cost, replacement, price, battery, almost, warranty end, battery degradation, degradation, cost warranty",127,10.58
9,"dashboard, caused dashboard, caused, dashboard freeze, freeze twice, freeze, glitch, twice, twice month, glitch caused",125,10.42
4,"use, daily use, daily, dropped, within month, within, battery health, dropped within, month daily, health dropped",96,8.0
2,"braking, system, work well, work, well, regenerative, regenerative braking, system feel, feel sharp, responsive",78,6.5
1,"charge come, defeat purpose, defeat, come mostly, come, used, used charge, coal, energy, coal region",75,6.25
5,"battery disposal, disposal recycling, concerned, environmental impact, environmental, concerned environmental, disposal, impact battery, recycling, impact",56,4.67
3,"ab, ab traction, control give, traction, traction control, mind, peace, peace mind, advanced, advanced safety",46,3.83
