review_id,product_type,brand,rating,feedback_text,nmf_topic,nmf_topic_label,nmf_topic_confidence
EV1000,EV Car,Tata Nexon EV,4,"No proper information on how battery degrades over time, company should be transparent.",8,"Topic 8: service, service center, center, appointment long, center needed",0.052935026121235115
EV1001,EV Car,Tesla Model 3,4,"The real world range is much lower than advertised, I only get 100 km on a full charge.",1,"Topic 1: charge come, defeat purpose, defeat, come mostly, come",0.03176010629300375
EV1002,EV Car,MG ZS EV,4,Emergency braking and collision alert systems work really well in traffic.,2,"Topic 2: braking, system, work well, work, well",0.31909778238262776
EV1003,EV Car,Mahindra XUV400,4,"Loved the color options and the overall styling of the vehicle. Suspension is too stiff, ride quality is uncomfortable on bad roads.",7,"Topic 7: riding, low, smooth, level, impressively",0.017461526520379075
EV1004,EV Car,Hyundai Kona,4,"Love the app that shows nearby charging stations, very convenient feature.",6,"Topic 6: app, keep, update, software update, need",0.13873149475387614
EV1005,EV Scooter,Ampere Magnus,4,Advanced safety features like ABS and traction control give peace of mind.,3,"Topic 3: ab, ab traction, control give, traction, traction control",0.4034444933979644
EV1006,EV Scooter,Ola S1,3,Zero tailpipe emissions is the main reason I chose an electric vehicle.,7,"Topic 7: riding, low, smooth, level, impressively",0.15348681555202068
EV1007,EV Car,Tata Nexon EV,4,"Running cost is much lower than petrol, saving a lot on fuel every month.",9,"Topic 9: dashboard, caused dashboard, caused, dashboard freeze, freeze twice",0.0516280875000597
EV1008,EV Scooter,TVS iQube,4,The motor is powerful and pickup is much better than petrol variants. Concerned about environmental impact of battery disposal and recycling.,5,"Topic 5: battery disposal, disposal recycling, concerned, environmental impact, environmental",0.2879737397953718
EV1009,EV Car,BYD Atto 3,3,"Battery replacement cost is almost half the price of the vehicle, very concerning.",0,"Topic 0: cost, replacement cost, replacement, price, battery",0.10929763693684456
EV1010,EV Scooter,TVS iQube,3,The upfront price is high but government subsidy makes it affordable.,0,"Topic 0: cost, replacement cost, replacement, price, battery",0.05427867857583784
EV1011,EV Scooter,Bajaj Chetak,5,Concerned about environmental impact of battery disposal and recycling.,5,"Topic 5: battery disposal, disposal recycling, concerned, environmental impact, environmental",0.4358654034600713
EV1012,EV Car,Tesla Model 3,4,"Battery health dropped to 85% within 18 months of daily use. There are very few authorized service centers, had to travel 5 km for repair.",4,"Topic 4: use, daily use, daily, dropped, within month",0.2843280712677301
EV1013,EV Scooter,Hero Vida V1,4,The motor is powerful and pickup is much better than petrol variants.,5,"Topic 5: battery disposal, disposal recycling, concerned, environmental impact, environmental",0.012919841213890379
EV1014,EV Car,BYD Atto 3,4,Home charging setup was expensive and took weeks to install.,5,"Topic 5: battery disposal, disposal recycling, concerned, environmental impact, environmental",0.034397188509763525
EV1015,EV Car,Tesla Model 3,5,"Storage space under the seat is very limited, not practical for daily use.",4,"Topic 4: use, daily use, daily, dropped, within month",0.1489749552724736
EV1016,EV Scooter,Ampere Magnus,4,"Charging takes too long, almost 6 hours for a full charge at home. Stability control on wet roads is impressive and inspires confidence.",7,"Topic 7: riding, low, smooth, level, impressively",0.17817630198679704
EV1017,EV Scooter,Ola S1,4,"The companion app keeps crashing, needs urgent software updates.",6,"Topic 6: app, keep, update, software update, need",0.3913111625379394
